archivo_original,patron,tamano_patron,tiempo_busqueda_ms,ocurrencias
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct,17,0,117
sources,SiS310_PanelType06_2[]=,23,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
dna,ATCG,4,11,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,11,217359
dna,ATCG,4,11,217359
dna,ATCG,4,11,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,ATCG,4,10,217359
dna,GCTA,4,63,1058013
dna,GCTA,4,64,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,64,1058013
dna,GCTA,4,64,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,63,1058013
dna,GCTA,4,65,1058013
dna,GCTA,4,68,1058013
dna,GCTA,4,64,1058013
dna,GCTA,4,65,1058013
dna,GCTA,4,65,1058013
dna,GCTA,4,64,1058013
dna,GCTA,4,65,1058013
dna,GCTA,4,66,1058013
dna,GCTA,4,63,1058013
dna,TACG,4,9,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,9,177831
dna,TACG,4,9,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,TACG,4,8,177831
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,10,215930
dna,CGAT,4,12,215930
dna,CGAT,4,12,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
dna,CGAT,4,11,215930
